268.99,37.838
268.99,37.838
269,40.825
269,43.581
269,46.152
267.82,37.84
267.77,40.825
267.72,43.58
267.67,46.15
266.65,37.845
266.54,40.826
266.44,43.578
266.34,46.145
265.48,37.852
265.31,40.828
265.15,43.576
265.01,46.139
264.31,37.861
264.08,40.831
263.87,43.573
263.68,46.131
263.15,37.873
262.85,40.834
262.59,43.569
262.35,46.121
261.98,37.887
261.62,40.839
261.31,43.565
261.02,46.109
260.81,37.904
260.39,40.844
260.03,43.56
259.7,46.096
259.63,37.923
259.16,40.85
258.75,43.555
258.37,46.08
258.46,37.945
257.93,40.857
257.47,43.549
257.04,46.063
257.29,37.969
256.71,40.864
256.18,43.542
255.71,46.044
256.12,37.995
255.48,40.873
254.9,43.535
254.39,46.024
254.95,38.024
254.25,40.882
253.62,43.528
253.06,46.001
253.77,38.055
253.02,40.892
252.34,43.519
251.73,45.977
252.6,38.088
251.78,40.903
251.06,43.511
250.41,45.951
251.42,38.124
250.55,40.914
249.78,43.501
249.08,45.923
250.24,38.161
249.32,40.926
248.5,43.492
247.76,45.894
249.07,38.202
248.09,40.94
247.22,43.481
246.43,45.862
247.89,38.244
246.86,40.953
245.94,43.47
245.11,45.83
246.71,38.288
245.63,40.968
244.66,43.459
243.79,45.795
245.53,38.335
244.4,40.983
243.39,43.447
242.46,45.759
244.34,38.384
243.16,40.999
242.11,43.434
241.14,45.721
243.16,38.434
241.93,41.016
240.83,43.421
239.82,45.681
241.97,38.487
240.7,41.034
239.55,43.408
238.5,45.64
240.79,38.542
239.46,41.052
238.27,43.394
237.18,45.597
239.6,38.599
238.23,41.071
237,43.379
235.86,45.552
238.41,38.658
237,41.09
235.72,43.364
234.55,45.506
237.22,38.719
235.76,41.111
234.44,43.349
233.23,45.458
236.03,38.781
234.53,41.131
233.17,43.333
231.91,45.409
234.83,38.846
233.29,41.153
231.89,43.317
230.6,45.358
233.64,38.912
232.05,41.175
230.61,43.3
229.29,45.306
232.44,38.98
230.82,41.198
229.34,43.282
227.97,45.252
231.24,39.049
229.58,41.222
228.06,43.265
226.66,45.197
230.04,39.121
228.34,41.246
226.79,43.246
225.35,45.141
228.84,39.194
227.1,41.271
225.52,43.228
224.04,45.083
227.63,39.268
225.86,41.296
224.24,43.209
222.74,45.023
226.43,39.344
224.63,41.322
222.97,43.19
221.43,44.963
225.22,39.422
223.39,41.348
221.7,43.17
220.12,44.901
224.01,39.501
222.14,41.375
220.42,43.15
218.82,44.837
222.79,39.581
220.9,41.403
219.15,43.129
217.52,44.773
221.58,39.662
219.66,41.431
217.88,43.108
216.21,44.707
220.36,39.745
218.42,41.459
216.61,43.087
214.91,44.64
219.15,39.83
217.18,41.488
215.34,43.066
213.61,44.571
217.93,39.915
215.93,41.518
214.07,43.044
212.32,44.502
216.7,40.001
214.69,41.548
212.8,43.022
211.02,44.431
215.48,40.089
213.44,41.578
211.53,43
209.73,44.36
214.25,40.177
212.2,41.609
210.27,42.977
208.43,44.287
213.03,40.267
210.95,41.64
209,42.954
207.14,44.213
211.8,40.358
209.71,41.672
207.73,42.931
205.85,44.139
210.56,40.449
208.46,41.704
206.46,42.907
204.56,44.063
209.33,40.541
207.21,41.737
205.2,42.884
203.28,43.986
208.09,40.634
205.96,41.769
203.93,42.86
201.99,43.909
206.85,40.728
204.71,41.803
202.67,42.836
200.71,43.831
205.61,40.822
203.46,41.836
201.4,42.812
199.43,43.751
204.37,40.917
202.21,41.87
200.14,42.787
198.15,43.672
203.13,41.013
200.96,41.904
198.88,42.763
196.87,43.591
201.88,41.109
199.71,41.939
197.62,42.738
195.59,43.51
200.63,41.206
198.46,41.973
196.35,42.713
194.31,43.428
199.38,41.303
197.2,42.008
195.09,42.688
193.04,43.345
198.13,41.4
195.95,42.043
193.83,42.663
191.77,43.262
196.88,41.498
194.7,42.079
192.57,42.638
190.5,43.178
195.62,41.596
193.44,42.114
191.31,42.613
189.23,43.094
194.36,41.695
192.18,42.15
190.05,42.588
187.97,43.009
193.1,41.793
190.93,42.186
188.8,42.563
186.7,42.924
191.84,41.892
189.67,42.222
187.54,42.538
185.44,42.839
190.57,41.99
188.41,42.258
186.28,42.512
184.18,42.753
189.31,42.089
187.15,42.294
185.03,42.487
182.92,42.667
188.04,42.188
185.89,42.331
183.77,42.462
181.66,42.581
186.77,42.287
184.63,42.367
182.52,42.437
180.41,42.495
185.49,42.385
183.37,42.404
181.26,42.412
179.16,42.408
184.22,42.484
182.11,42.441
180.01,42.387
177.91,42.322
182.94,42.582
180.85,42.477
178.75,42.362
176.66,42.235
181.67,42.68
179.59,42.514
177.5,42.337
175.41,42.148
180.39,42.778
178.32,42.551
176.25,42.312
174.16,42.062
179.11,42.875
177.06,42.588
175,42.288
172.92,41.975
177.82,42.972
175.8,42.624
173.75,42.263
171.68,41.889
176.54,43.068
174.53,42.661
172.5,42.239
170.44,41.803
175.25,43.165
173.26,42.698
171.25,42.215
